04.81.19;["Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, autre"]
04.81.20;["Injection de médicament dans le système nerveux sympathique pour analgésie"]
04.81.21;["Injection de médicament dans la colonne cervicale pour traitement de la douleur, sans imagerie"]
04.81.22;["Injection de médicament dans la colonne cervicale pour traitement de la douleur, avec imagerie"]
04.81.23;["Injection de médicament dans la colonne dorsale pour traitement de la douleur, avec imagerie"]
04.81.24;["Injection de médicament dans la colonne lombaire pour traitement de la douleur, avec imagerie"]
04.81.25;["Injection de médicament dans autre site de la colonne vertébrale pour traitement de la douleur, avec imagerie"]
04.81.29;["Injection de médicament au contact de racines nerveuses et de nerfs proches du rachis pour traitement de la douleur, autre"]
04.81.99;["Injection d'anesthésique dans un nerf périphérique pour analgésie, autre"]
04.79.23;["Transplantation et transposition de nerf de l'épaule, avec suture interfasciculaire"]
04.79.24;["Transplantation et transposition de nerf du bras et de la main, avec suture interfasciculaire"]
04.79.25;["Transplantation et transposition de nerf du tronc et du membre inférieur, avec suture interfasciculaire"]
04.79.29;["Transplantation et transposition d'autre nerf, avec suture interfasciculaire"]
04.80;["Injection dans un nerf périphérique, SAP"]
04.81.00;["Injection d'anesthésique dans un nerf périphérique pour analgésie, SAP"]
04.81.1;["Injection /perfusion de médicament au contact de racines nerveuses et de nerfs proches du rachis pour analgésie"]
04.81.10;["Injection / perfusion de médicament au contact de racines nerveuses et de nerfs proches du rachis pour analgésie, SAP"]
04.81.11;["Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, sans imagerie"]
04.81.12;["Injection / perfusion de médicament au contact de nerfs périphériques pour traitement de la douleur, avec imagerie"]
04.89;["Injection d'autre agent dans un nerf périphérique, sauf neurolytique"]
04.91;["Neurectasie"]
05;["Opérations de nerfs ou de ganglions sympathiques"]
06.89.13;["Autre opération de glande parathyroïde par sternotomie"]
06.89.99;["Parathyroïdectomie partielle, autre"]
06.91;["Section de l'isthme de la thyroïde"];Transection de l'isthme thyroïdien
06.92;["Ligature de vaisseaux thyroïdiens"]
06.93;["Suture de glande thyroïde"];Suture après lésion traumatique
06.94;["Réimplantation de tissu thyroïdien"];Autogreffe de tissu thyroïdien
06.95;["Réimplantation de tissu parathyroïdien"];Autogreffe de tissu parathyroïdien
06.95.00;["Réimplantation de tissu parathyroïdien, SAP"]
06.95.10;["Parathyroïdectomie totale, avec réimplantation, SAP"]
06.95.11;["Parathyroïdectomie totale, avec réimplantation orthotopique"]
06.95.12;["Parathyroïdectomie totale, avec réimplantation hétérotopique"]
06.95.20;["Parathyroïdectomie totale par sternotomie, avec réimplantation, SAP"]
06.95.21;["Parathyroïdectomie totale par sternotomie, avec réimplantation orthotopique"]
06.95.22;["Parathyroïdectomie totale par sternotomie, avec réimplantation hétérotopique"]
06.95.99;["Réimplantation de tissu parathyroïdien, autre"]
06.98.99;["Autres opérations de la glande thyroïde, autre"]
07;["Opérations d'autres glandes endocrines"];Opération sur épiphyse;Opération sur hypophyse;Opération sur thymus;Opérations sur glandes surrénales
07.1;["Procédés techniques diagnostiques concernant la glande surrénale, l'hypophyse, l'épiphyse et le thymus"]
07.11;["Biopsie de glande surrénale, fermée [percutanée] [à l'aiguille]"]
07.13.12;["Biopsie stéréotaxique de la glande hypophyse, par voie transfrontale"];Mise en place d'un cadre stéréotaxique (tête) (93.59)
07.14.11;["Biopsie ouverte de la glande hypophyse, par voie transsphénoïdale"]
07.14.99;["Biopsie de la glande hypophyse par voie transsphénoïdale, autre"]
07.16;["Biopsie du thymus"]
07.16.00;["Biopsie du thymus, SAP"]
07.17.00;["Biopsie de la glande pinéale, SAP"]
04.5X.19;["Greffe d'autre nerf crânien ou périphérique"]
04.6;["Transposition de nerf crânien et périphérique"]
04.6X.10;["Transposition de nerf cérébral extracrânien avec suture épineurale primaire"]
04.6X.11;["Transposition de nerf cérébral extracrânien avec suture épineurale secondaire"]
04.6X.12;["Transposition de nerf cérébral extracrânien avec suture interfasciculaire primaire et secondaire"]
04.6X.20;["Transposition du plexus brachial avec suture épineurale primaire"]
04.6X.21;["Transposition du plexus brachial avec suture épineurale secondaire"]
04.6X.22;["Transposition du plexus brachial avec suture interfasciculaire primaire"]
04.6X.23;["Transposition du plexus brachial avec suture interfasciculaire secondaire"]
04.6X.30;["Transposition de nerf de l'épaule avec suture épineurale primaire et secondaire"]
04.6X.31;["Transposition de nerf de l'épaule avec suture interfasciculaire primaire et secondaire"]
04.6X.42;["Transposition de nerf du bras avec suture interfasciculaire primaire"]
04.6X.51;["Transposition de nerf du tronc et du membre inférieur avec suture interfasciculaire primaire et secondaire"]
04.6X.60;["Transposition de nerf de la main avec suture interfasciculaire primaire et secondaire"]
04.6X.70;["Transposition avec neurolyse et décompression d'un nerf cérébral extracrânien"]
04.6X.71;["Transposition avec neurolyse et décompression du plexus brachial ou d'un nerf de l'épaule"]
04.6X.72;["Transposition avec neurolyse et décompression d'un nerf du bras"]
04.6X.73;["Transposition avec neurolyse et décompression d'un nerf de la main"]
04.6X.74;["Transposition avec neurolyse et décompression d'un nerf du tronc et du membre inférieur"]
04.6X.75;["Transposition d'autre nerf crânien et périphérique "];Neurolyse, décompression, suture épineurale et interfasciculaire
04.6X.99;["Transposition de nerf crânien et périphérique, autre"]
04.71;["Anastomose entre nerfs hypoglosse et facial"]
04.72;["Anastomose entre nerfs accessoire et facial"]
04.73;["Anastomose entre nerfs accessoire et hypoglosse"]
04.74.0;["Détail de la sous-catégorie 04.74"]
04.74.00;["Autre anastomose de nerf crânien ou périphérique, SAP"]
04.74.10;["Anastomose nerveuse facio-faciale"]
04.74.99;["Autre anastomose de nerf crânien ou périphérique, autre"]
04.75;["Révision de réparation antérieure de nerf crânien et périphérique"]
04.76;["Réparation de traumatisme ancien de nerf crânien et périphérique"]
04.79;["Autre plastie de nerf"];Autre neuroplastie *
04.79.0;["Détail de la sous-catégorie 04.79"]
04.79.10;["Transplantation et transposition de nerf cérébral extracrânien, avec suture épineurale"]
04.79.11;["Transplantation et transposition du plexus brachial, avec suture épineurale"]
04.79.12;["Transplantation et transposition de nerf de l'épaule, avec suture épineurale"]
04.79.13;["Transplantation et transposition de nerf du bras et de la main, avec suture épineurale"]
04.79.14;["Transplantation et transposition de nerf du tronc et du membre inférieur, avec suture épineurale"]
04.79.19;["Transplantation et transposition d'autre nerf, avec suture épineurale"]
04.79.20;["Transplantation et transposition de nerf avec suture interfasciculaire"]
04.79.21;["Transplantation et transposition de nerf cérébral extracrânien, avec suture interfasciculaire"]
04.79.22;["Transplantation et transposition du plexus brachial, avec suture interfasciculaire"]
04.79.99;["Autre plastie de nerf, autre"]
04.8;["Injection dans un nerf périphérique"]
04.81.2;["Injection de médicament au contact de racines nerveuses et de nerfs proches du rachis pour traitement de la douleur"];Avec imagerie: incl. tomographie axiale computérisée (CT-scan), fluoroscopie ou échographie.
04.81.40;["Injection d'anesthésique dans le canal rachidien pour anesthésie opératoire"];Ce code ne doit être utilisé que pour les opérations normalement effectuées sans anesthésie ni analgésie.
04.9;["Autres opérations de nerf crânien et périphérique"]
04.92.0;["Détail de la sous-catégorie 04.92"]
05.26;["Sympathectomie thoracique"]
06.4X;["Thyroïdectomie totale"]
06.7X.11;["Excision d'un kyste médian du cou, avec résection du bord interne de l'os hyoïde"]
06.7X.12;["Excision d'une fistule médiane du cou, sans résection du bord interne de l'os hyoïde"]
06.7X.13;["Excision d'une fistule médiane du cou, avec résection du bord interne de l'os hyoïde"]
06.7X.14;["Intervention secondaire pour excision du canal thyréoglosse, avec résection du bord interne de l'os hyoïde"]
06.7X.15;["Intervention secondaire pour excision du canal thyréoglosse, sans résection du bord interne de l'os hyoïde"]
06.7X.99;["Excision du canal thyréoglosse, autre"]
06.89.11;["Réexploration avec parathyroïdectomie partielle"]
06.98.0;["Détail de la sous-catégorie 06.98"]
08.11;["Biopsie de paupière"]
11.72;["Kératophakie"]
03.94.11;["Ablation d'électrode(s) de neurostimulateur épidural, électrode en baguette, système à plusieurs électrodes"]
03.94.20;["Ablation d'électrode(s) de neurostimulateur épidural, électrode à plaque, système à une électrode"]
03.94.21;["Ablation d'électrode(s) de neurostimulateur épidural, électrode à plaque, système à plusieurs électrodes"]
03.94.99;["Ablation d'électrodes de neurostimulateur rachidien, autre"]
03.96.99;["Dénervation percutanée de facette, autre"]
03.97;["Révision de shunt de méninge rachidienne"]
03.98;["Ablation de shunt de méninge rachidienne"]
03.99;["Autre opération de la moelle épinière et du canal rachidien"]
03.99.10;["Opération de vaisseau(x) intramédullaire(s) (ligature, destruction, résection)"]
03.99.21;["Opération des voies d'écoulement du liquide céphalo-rachidien, révision de réservoir sous-cutané de LCR, de cathéter ou de pompe à médicament pour perfusion intrathécale et épidurale"]
03.99.22;["Opération sur les voies d'écoulement du liquide céphalo-rachidien, enlèvement de réservoir sous-cutané de LCR"]
03.99.29;["Autre opération des voies d'écoulement du LCR"]
03.99.30;["Révision (sans remplacement) d'électrode(s) de neurostimulateur rachidien, électrode en baguette, système à une électrode"]
03.99.31;["Révision (sans remplacement) d'électrode(s) de neurostimulateur rachidien, électrode en baguette, système à plusieurs électrodes"]
03.99.32;["Révision (sans remplacement) d'électrode(s) de neurostimulateur rachidien, électrode à plaque, système à une électrode"]
03.99.33;["Révision (sans remplacement) d'électrode(s) de neurostimulateur rachidien, électrode à plaque, système à plusieurs électrodes"]
03.99.40;["Révision (sans remplacement) de cathéter pour perfusion intrathécale et épidurale"]
03.99.41;["Ablation de cathéter pour perfusion intrathécale et épidurale"]
03.99.99;["Autre opération de la moelle épinière et du canal rachidien, autre"]
04.0;["Incision, section et excision de nerf crânien et périphérique"]
04.01.00;["Excision de neurinome du nerf auditif, SAP"]
04.01.10;["Excision de neurinome du nerf auditif par craniotomie"]
04.01.11;["Excision de neurinome du nerf auditif, par voie translabyrinthique"]
04.01.99;["Excision de neurinome du nerf auditif, autre"]
04.02;["Section du nerf trijumeau"];Neurotomie nerf trijumeau *;Neurotomie rétro-gassérienne;Opération de Spiller-Frazier *
04.03;["Section ou écrasement d'autres nerfs crânien et périphérique"]
04.03.0;["Détail de la sous-catégorie 04.03"]
04.03.00;["Section ou écrasement d'autres nerfs crâniens et périphériques"]
04.03.10;["Section ou écrasement du nerf acoustique"]
04.03.11;["Section ou écrasement de segment intracrânien d'autre nerf cérébral et ganglion nerveux"]
04.03.20;["Section ou écrasement de nerf cérébral extracrânien"]
04.03.32;["Section ou écrasement de nerf du bras et de la main"]
04.03.33;["Section ou écrasement de nerf du tronc et du membre inférieur"]
04.03.99;["Section ou écrasement d'autres nerfs crâniens et périphériques, autre"]
04.04;["Autre incision de nerfs crânien et périphérique"]
04.04.0;["Détail de la sous-catégorie 04.04"]
04.04.00;["Autre incision de nerf crânien et périphérique, SAP"]
04.04.11;["Autre incision de segment intracrânien d'autre nerf cérébral et ganglion nerveux"]
04.04.33;["Autre incision de nerf du tronc et du membre inférieur"]
04.04.99;["Autre incision de nerf crânien et périphérique, autre"]
04.05;["Excision de ganglion de Gasser"];Thermocoagulation de ganglion de Gasser *
04.05.0;["Détail de la sous-catégorie 04.05"]
04.05.00;["Excision (et destruction) de ganglion de Gasser, SAP"]
04.05.10;["Excision de ganglion de Gasser"]
04.05.99;["Excision (et destruction) de ganglion de Gasser, autre"]
04.06;["Autre excision de ganglion de nerf crânien ou périphérique"]
04.06.00;["Autre excision de ganglion de nerf crânien ou périphérique, SAP"]
04.06.20;["Excision d'autre ganglion périphérique"]
04.06.99;["Autre excision de ganglion de nerf crânien ou périphérique, autre"]
04.07;["Autre excision ou avulsion de nerfs crânien et périphérique"];Curetage de nerf périphérique;Débridement de nerf périphérique;Excision de névrome périphérique y compris par radiochirurgie *;Excision de névrome périphérique [de Morton];Résection de nerf périphérique
04.07.0;["Détail de la sous-catégorie 04.07"]
04.07.00;["Autre excision ou avulsion de nerf crânien et périphérique, SAP"]
04.07.10;["Excision (prélèvement) de nerf pour greffe"]
04.07.30;["Autre excision ou avulsion de nerf cérébral extracrânien"]
04.07.40;["Autre excision ou avulsion du plexus brachial"]
04.07.41;["Autre excision ou avulsion de nerf de l'épaule"]
04.07.42;["Autre excision ou avulsion de nerf du bras et de la main"]
04.07.43;["Autre excision ou avulsion de nerf du tronc et du membre inférieur"]
04.07.99;["Autre excision ou avulsion de nerf crânien et périphérique, autre"]
04.08.00;["Fénestration des gaines du nerf optique, SAP"]
04.08.99;["Fénestration des gaines du nerf optique, autre"]
04.1;["Techniques diagnostiques concernant le système nerveux périphérique"]
04.11;["Biopsie fermée [percutanée] [à l'aiguille] de nerf et ganglion crânien ou périphérique"]
04.11.00;["Biopsie fermée [percutanée] [à l'aiguille] de nerf et ganglion crânien ou périphérique, SAP"]
04.11.10;["Biopsie fermée [percutanée] [à l'aiguille] de nerf cérébral intracrânien"]
04.11.20;["Biopsie fermée [percutanée] [à l'aiguille] de nerf cérébral extracrânien"]
04.11.39;["Biopsie fermée [percutanée] [à l'aiguille] d'autre nerf"];Épaule, tronc
04.11.40;["Biopsie fermée [percutanée] [à l'aiguille] de nerf du membre inférieur"];Plexus lombosacré, aine et plancher pelvien
04.11.99;["Biopsie fermée [percutanée] [à l'aiguille] de nerf et ganglion crânien ou périphérique, autre"]
04.12;["Biopsie ouverte de nerf et ganglion crânien ou périphérique"]
04.19;["Autres techniques diagnostiques concernant un nerf ou un ganglion crânien ou périphérique"]
04.19.00;["Autres techniques diagnostiques concernant un nerf ou un ganglion crânien ou périphérique, SAP"]
04.19.10;["Utilisation d'un système d'endoscopie pour intervention sur le système nerveux"];La technique diagnostique ou thérapeutique respective, pour autant que la voie d'abord ne soit pas déjà contenue dans le code.
04.19.99;["Autres techniques diagnostiques concernant un nerf ou un ganglion crânien ou périphérique, autre"]
04.2;["Destruction de nerf et ganglion crânien et périphérique"];Ablation par radiofréquence;Destruction de nerf crânien ou périphérique par cryoanalgésie;Destruction de nerf crânien ou périphérique par injection d'agent neurolytique;Destruction de nerf crânien ou périphérique par radiofréquence
04.2X.00;["Destruction de nerf et ganglion crânien et périphérique, SAP"]
04.2X.10;["Destruction de nerf et ganglion intracrânien"]
04.2X.20;["Destruction de nerf crânien extracrânien"]
04.2X.32;["Destruction de nerf du bras et de la main"]
04.2X.33;["Destruction de nerf du tronc et du plexus lombosacré"]
04.2X.34;["Destruction de nerf de la jambe et du pied"]
04.2X.39;["Destruction d'autre nerf et ganglion périphérique"]
04.2X.99;["Destruction de nerf et ganglion crânien et périphérique, autre"]
04.3;["Suture de nerf crânien et périphérique"]
04.3X;["Suture de nerf crânien et périphérique"]
04.3X.00;["Suture de nerf crânien et périphérique, SAP"]
04.3X.10;["Suture épineurale de nerf cérébral extracrânien, suture primaire"]
04.3X.12;["Suture épineurale de nerf de l'épaule, suture primaire"]
04.3X.13;["Suture épineurale de nerf du bras, suture primaire"]
04.3X.14;["Suture épineurale de nerf de la main, suture primaire"]
04.3X.15;["Suture épineurale de nerf du tronc, suture primaire"]
04.3X.16;["Suture épineurale de nerf de la jambe (plexus lombosacré, aine et plancher pelvien), suture primaire"]
04.3X.17;["Suture épineurale de nerf du pied, suture primaire"]
04.3X.19;["Suture épineurale d'autre nerf crânien ou périphérique, suture primaire"]
04.3X.20;["Suture épineurale de nerf cérébral extracrânien, suture secondaire"]
04.3X.21;["Suture épineurale du plexus brachial, suture secondaire"]
04.3X.22;["Suture épineurale de nerf de l'épaule, suture secondaire"]
04.3X.23;["Suture épineurale de nerf du bras, suture secondaire"]
04.3X.24;["Suture épineurale de nerf de la main, suture secondaire"]
04.3X.26;["Suture épineurale de nerf de la jambe (plexus lombosacré, aine et plancher pelvien), suture secondaire"]
04.3X.27;["Suture épineurale de nerf du pied, suture secondaire"]
04.3X.29;["Suture épineurale d'autre nerf crânien ou périphérique, suture secondaire"]
04.3X.30;["Suture interfasciculaire de nerf cérébral extracrânien, suture primaire"]
04.3X.31;["Suture interfasciculaire du plexus brachial, suture primaire"]
04.3X.32;["Suture interfasciculaire de nerf de l'épaule, suture primaire"]
04.3X.33;["Suture interfasciculaire de nerf du bras, suture primaire"]
04.3X.34;["Suture interfasciculaire de nerf de la main, suture primaire"]
04.3X.36;["Suture interfasciculaire de nerf de la jambe (plexus lombosacré, aine et plancher pelvien), suture primaire"]
04.3X.37;["Suture interfasciculaire de nerf du pied, suture primaire"]
04.3X.39;["Suture interfasciculaire d'autre nerf crânien ou périphérique, suture primaire"]
04.3X.40;["Suture interfasciculaire de nerf cérébral extracrânien, suture secondaire"]
04.3X.41;["Suture interfasciculaire du plexus brachial, suture secondaire"]
04.3X.42;["Suture interfasciculaire de nerf de l'épaule, suture secondaire"]
04.3X.43;["Suture interfasciculaire de nerf du bras, suture secondaire"]
04.3X.44;["Suture interfasciculaire de nerf de la main, suture secondaire"]
04.3X.46;["Suture interfasciculaire de nerf de la jambe (plexus lombosacré, aine et plancher pelvien), suture secondaire"]
04.3X.49;["Suture interfasciculaire d'autre nerf crânien ou périphérique, suture secondaire"]
04.3X.99;["Suture de nerf crânien et périphérique, autre"]
04.4;["Lyse d'adhérences et décompression de nerf crânien et périphérique"]
04.41;["Décompression de la racine du nerf trijumeau"]
04.42;["Décompression d'autre nerf crânien"]
04.42.0;["Détail de la sous-catégorie 04.42"]
04.42.00;["Autre décompression de nerf crânien, SAP"]
04.42.10;["Autre décompression intracrânienne de nerf crânien"]
04.42.20;["Autre décompression extracrânienne de nerf crânien"]
04.42.99;["Autre décompression de nerf crânien, autre"]
04.43;["Libération du canal carpien"];Neurolyse du nerf médian au niveau du canal (ou tunnel carpien) *
04.43.0;["Détail de la sous-catégorie 04.43"]
04.43.00;["Libération du canal carpien, SAP"]
04.43.10;["Libération du canal carpien par endoscopie"]
04.43.99;["Libération du canal carpien, autre"]
04.44;["Libération du canal tarsien"];Neurolyse au niveau du canal tarsien *
04.49;["Autre lyse d'adhérences ou décompression de nerf ou de ganglion périphérique"];Neurolyse de nerf périphérique, SAP
04.49.0;["Détail de la sous-catégorie 04.49"]
04.49.00;["Autre lyse d'adhérences ou décompression de nerf ou de ganglion périphérique, SAP"]
04.49.10;["Autre lyse d'adhérences ou décompression du plexus brachial"]
04.49.11;["Autre lyse d'adhérences ou décompression de nerf de l'épaule"]
04.49.12;["Autre lyse d'adhérences ou décompression de nerf du bras"]
04.49.13;["Autre lyse d'adhérences ou décompression de nerf de la main"]
04.49.14;["Autre lyse d'adhérences ou décompression du plexus lombosacré, de l'aine et du plancher pelvien"]
04.49.15;["Autre lyse d'adhérences ou décompression de nerf de la jambe"]
04.49.16;["Autre lyse d'adhérences ou décompression de nerf du pied"]
04.49.99;["Autre lyse d'adhérences ou décompression d'autre nerf ou de ganglion périphérique, autre"]
04.5;["Greffe de nerf crânien ou périphérique"];Transplantation de nerf
04.5X;["Greffe de nerf crânien ou périphérique"];Suture épineurale ou interfasciculaire
04.5X.0;["Détail de la sous-catégorie 04.5X"]
04.5X.00;["Greffe de nerf crânien ou périphérique, SAP"]
04.5X.10;["Greffe de nerf cérébral extracrânien"]
04.5X.11;["Greffe de plexus brachial et de nerf de l'épaule"]
04.5X.12;["Greffe de nerf du bras et de la main"]
04.5X.13;["Greffe de nerf du tronc et du membre inférieur"]
04.6X.40;["Transposition de nerf du bras avec suture épineurale primaire"]
04.6X.41;["Transposition de nerf du bras avec suture épineurale secondaire"]
04.6X.43;["Transposition de nerf du bras avec suture interfasciculaire secondaire"]
04.6X.50;["Transposition de nerf du tronc et du membre inférieur avec suture épineurale primaire et secondaire"]
04.7;["Autre neuroplastie de nerf crânien et périphérique"]
04.92;["Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique"];Toute insertion de générateur d'impulsion de neurostimulateur (86.94-86.98)
04.92.00;["Implantation ou remplacement d'électrode(s) de neurostimulateur périphérique, SAP"]
05.39;["Autre injection dans un nerf ou un ganglion sympathique"]
06;["Opérations de glandes thyroïde et parathyroïde"];Résection l'os hyoïde en passant
06.01;["Aspiration du champ thyroïdien"];Drainage percutané ou par aiguille du champ thyroïdien
06.02;["Réouverture du champ thyroïdien"];Réouverture de champ thyroïdien pour contrôle d'hémorragie;Réouverture de champ thyroïdien pour évacuation d'hématome;Réouverture de champ thyroïdien pour examen;Réouverture de champ thyroïdien pour exploration
06.09;["Autre incision du champ thyroïdien"];Drainage d'hématome du champ thyroïdien par incision;Drainage du tractus thyréoglosse par incision;Exploration du champ thyroïdien par incision;Exploration du cou par incision;Extraction de corps étranger du champ thyroïdien par incision;Thyroïdotomie, SAP
06.09.00;["Autre incision du champ thyroïdien, SAP"]
06.09.12;["Autre incision du champ thyroïdien, exploration"]
06.1;["Techniques diagnostiques concernant les glandes thyroïde ou parathyroïdes"]
