04.49.00;["Sonstige Dekompression oder Lösung von Adhäsionen an peripherem Nerv oder Ganglion, n.n.bez."]
04.49.10;["Sonstige Dekompression oder Lösung von Adhäsionen am Plexus brachialis"]
04.49.11;["Sonstige Dekompression oder Lösung von Adhäsionen an Nerven der Schulter"]
04.49.12;["Sonstige Dekompression oder Lösung von Adhäsionen an Nerven des Armes"]
04.73;["Akzessorio-hypoglossale Anastomose"]
04.42.99;["Sonstige Dekompression an kranialen Nerven, sonstige"]
04.43.00;["Entlastung am Karpaltunnel, n.n.bez."]
04.43.10;["Entlastung am Karpaltunnel, endoskopisch"]
04.43.99;["Entlastung am Karpaltunnel, sonstige"]
04.49;["Sonstige Dekompression oder Lösung von Adhäsionen an peripherem Nerv oder Ganglion"];Neurolyse an peripherem Nerv, n.n.bez.
04.49.0;["Detail der Subkategorie 04.49"]
04.6X;["Transposition von kranialen und peripheren Nerven"]
05.2;["Sympathektomie"]
05.9;["Sonstige Operationen am Nervensystem"]
06;["Operationen an Schilddrüse und Nebenschilddrüse (Parathyreoidea)"];Inzidente Resektion des Os hyoideum bei Operationen an Schilddrüse und Nebenschilddrüse
06.0;["Inzision im Gebiet der Schilddrüse"]
06.01;["Aspiration im Gebiet der Schilddrüse"];Perkutane oder Nadel-Drainage im Gebiet der Schilddrüse
06.02;["Wiedereröffnung einer Wunde im Gebiet der Schilddrüse"];Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zum Ausräumen eines Hämatoms;Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur (postoperativen) Blutstillung;Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur Exploration;Wiedereröffnung einer Wunde im Gebiet der Schilddrüse zur Untersuchung
06.09;["Sonstige Inzision im Gebiet der Schilddrüse"];Drainage des Tractus thyreoglossus durch Inzision;Drainage eines Hämatoms durch Inzision;Entfernen eines Fremdkörpers durch Inzision;Exploration (im Gebiet) der Schilddrüse durch Inzision;Exploration des Halses durch Inzision;Thyreoidotomie durch Inzision, n.n.bez.
44.0;["Vagotomie"]
04.2X.32;["Destruktion von Nerven des Armes und der Hand"]
04.2X.33;["Destruktion von Nerven des Rumpfes und Plexus lumbosacralis"]
04.2X.34;["Destruktion von Nerven des Beines und des Fußes"]
04.2X.39;["Destruktion von sonstigen peripheren Nerven oder Ganglien"]
04.2X.99;["Destruktion von kranialen und peripheren Nerven und Ganglien, sonstige"]
04.3X.00;["Naht an kranialen oder peripheren Nerven, n.n.bez."]
04.3X.10;["Epineurale Naht von extrakraniellen Hirnnerven, primär "]
04.3X.13;["Epineurale Naht von Nerven am Arm, primär "]
04.3X.14;["Epineurale Naht von Nerven der Hand, primär "]
04.3X.15;["Epineurale Naht von Nerven des Rumpfes, primär"]
04.3X.16;["Epineurale Naht von Nerven des Beines (inkl. Plexus lumbosacralis, Leiste, Beckenboden), primär"]
04.3X.17;["Epineurale Naht von Nerven des Fußes, primär"]
04.3X.19;["Epineurale Naht von sonstigen kranialen oder peripheren Nerven,  primär"]
04.3X.23;["Epineurale Naht von Nerven am Arm, sekundär"]
04.3X.24;["Epineurale Naht von Nerven an der Hand, sekundär"]
04.3X.25;["Epineurale Naht von Nerven des Rumpfes, sekundär"]
04.3X.26;["Epineurale Naht von Nerven des Beines (inkl. Plexus lumbosacralis, Leiste, Beckenboden), sekundär"]
04.3X.32;["Interfaszikuläre Naht von Nerven der Schulter, primär"]
04.3X.33;["Interfaszikuläre Naht von Nerven am Arm, primär"]
04.3X.34;["Interfaszikuläre Naht von Nerven an der Hand, primär"]
04.3X.36;["Interfaszikuläre Naht von Nerven des Beines (inkl. Plexus lumbosacralis, Leiste, Beckenboden), primär"]
04.3X.37;["Interfaszikuläre Naht von Nerven des Fußes, primär"]
04.3X.39;["Interfaszikuläre Naht von sonstigen kranialen und peripheren Nerven, primär"]
04.3X.42;["Interfaszikuläre Naht von Nerven der Schulter, sekundär"]
04.3X.43;["Interfaszikuläre Naht von Nerven am Arm, sekundär"]
04.3X.44;["Interfaszikuläre Naht von Nerven an der Hand, sekundär"]
04.3X.45;["Interfaszikuläre Naht von Nerven des Rumpfes, sekundär"]
04.3X.46;["Interfaszikuläre Naht von Nerven des Beines (inkl. Plexus lumbosacralis, Leiste, Beckenboden), sekundär"]
04.3X.47;["Interfaszikuläre Naht von Nerven des Fußes, sekundär"]
04.3X.49;["Interfaszikuläre Naht von sonstigen kranialen und peripheren Nerven, sekundär"]
04.3X.99;["Naht an kranialen oder peripheren Nerven, sonstige"]
04.4;["Lösung von Adhäsionen und Dekompression an kranialen und peripheren Nerven"]
04.41;["Dekompression an der Wurzel des N. trigeminus"]
04.42;["Sonstige Dekompression an kranialen Nerven"]
04.42.0;["Detail der Subkategorie 04.42"]
04.42.00;["Sonstige Dekompression an kranialen Nerven, n.n.bez."]
04.42.10;["Sonstige Dekompression an kranialen Nerven, intrakraniell"]
04.42.20;["Sonstige Dekompression an kranialen Nerven, extrakraniel"]
04.43.0;["Detail der Subkategorie 04.43"]
04.44;["Entlastung am Tarsaltunnel"]
04.5X.0;["Detail der Subkategorie 04.5X"]
04.74.0;["Detail der Subkategorie 04.74"]
04.79;["Sonstige Neuroplastik"]
05.31.0;["Detail der Subkategorie 05.31"];Mit BV:  mit bildgebenden Verfahren Inkl.: Computertomografie, Fluoroskopie oder Sonografie.
05.31.00;["Injektion eines Anästhetikums in einen sympathischen Nerv zur Analgesie, n.n.bez. "]
05.31.09;["Injektion eines Anästhetikums in einen sympathischen Nerv zur Analgesie, sonstige"]
05.31.1;["Injektion eines Medikamentes an das sympathische Nervensystem zur Schmerztherapie"]
05.31.10;["Injektion eines Medikamentes an das sympathische Nervensystem zur Schmerztherapie, n.n.bez. "]
05.31.11;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am zervikalen Grenzstrang "]
05.31.12;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am zervikalen Grenzstrang, mit BV"]
05.31.13;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am thorakalen Grenzstrang "]
05.31.14;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am thorakalen Grenzstrang, mit BV"]
05.31.15;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am lumbalen Grenzstrang "]
05.31.16;["Injektion an das sympathische Nervensystem zur Schmerztherapie: am lumbalen Grenzstrang, mit BV"]
05.31.17;["Injektion an das sympathische Nervensystem zur Schmerztherapie: an den prävertebralen Ganglien (Plexus coeliacus, Plexus hypogastricus) "]
05.31.18;["Injektion an das sympathische Nervensystem zur Schmerztherapie: an den prävertebralen Ganglien (Plexus coeliacus, Plexus hypogastricus), mit BV"]
05.31.19;["Injektion an das sympathische Nervensystem zur Schmerztherapie: sonstige"]
05.31.1A;["Injektion an das sympathische Nervensystem zur Schmerztherapie: sonstige  Lokalisation"]
05.31.1B;["Injektion an das sympathische Nervensystem zur Schmerztherapie: sonstige  Lokalisation, mit BV"]
05.32;["Injektion einer neurolytischen Substanz in einen sympathischen Nerv"]
05.39;["Sonstige Injektion in sympathischen Nerv oder Ganglion"]
05.81;["Plastische Rekonstruktion an sympathischem Nerv oder Ganglion"]
05.89;["Sonstige Operation an sympathischem Nerv oder Ganglion"]
07.16;["Biopsie am Thymus"]
11.72;["Keratophakie"]
03.97;["Revision eines Shunts an den Rückenmarkshäuten"]
03.99.00;["Sonstige Operation an Rückenmark und Strukturen des Spinalkanals, n.n.bez."]
03.99.10;["Operation an intraspinalen Blutgefässen (z.B. Ligatur, Destruktion, Resektion)"]
03.99.20;["Operation am spinalen Liquorsystem, Anlegen eines subkutanen Reservoirs am spinalen Liquorsystem"]
03.99.21;["Operation am spinalen Liquorsystem, Revision eines subkutanen Reservoirs, eines Katheters oder einer Medikamentenpumpe zur intrathekalen und epiduralen Infusion "]
03.99.22;["Operation am spinalen Liquorsystem, Entfernung eines subkutanen Reservoirs am spinalen Liquorsystem"]
03.99.29;["Sonstige Operationen am spinalen Liquorsystem"]
03.99.30;["Revision (ohne Ersetzen) der Elektrode(n) eines epiduralen Neurostimulators, Stabelektrode, Einzelelektrodensystem"]
03.99.31;["Revision (ohne Ersetzen) der Elektrode(n) eines epiduralen Neurostimulators, Stabelektrode, Mehrelektrodensystem"]
03.99.32;["Revision (ohne Ersetzen) der Elektrode(n) eines epiduralen Neurostimulators, Plattenelektrode, Einzelelektrodensystem"]
03.99.33;["Revision (ohne Ersetzen) der Elektrode(n) eines epiduralen Neurostimulators, Plattenelektrode, Mehrelektrodensystem"]
03.99.40;["Revision (ohne Ersetzen) eines Katheters zur intrathekalen und epidularen Infusion"]
03.99.41;["Entfernung eines Katheters zur intrathekalen und epiduralen Infusion"]
03.99.99;["Sonstige Operation an Rückenmark und Strukturen des Spinalkanals, sonstige "]
04;["Operationen an kranialen und peripheren Nerven"]
04.01;["Exzision eines Akustikusneurinoms"]
04.01.10;["Exzision eines Akustikusneurinoms durch Kraniotomie"]
04.01.11;["Exzision eines Akustikusneurinoms, Translabyrinthärer Zugang"]
04.02;["Durchtrennung des N. trigeminus"];Operation nach Spiller-Frazier *;Retroganglionäre Neurotomie
04.03;["Durchtrennung oder Quetschen (Crushing) von anderen kranialen und peripheren Nerven"]
04.03.00;["Durchtrennung oder Quetschen (Crushing) von anderen kranialen und peripheren Nerven, n.n.bez."]
04.03.10;["Durchtrennung oder Quetschen (Crushing) des N. vestibulocochlearis"]
04.03.11;["Durchtrennung oder Quetschen (Crushing) von intrakraniellen Anteilen von sonstigen Hirnnerven und Ganglien"]
04.03.20;["Durchtrennung oder Quetschen (Crushing) von extrakraniellen Hirnnerven"]
04.03.30;["Durchtrennung oder Quetschen (Crushing) des Plexus brachialis"]
04.03.32;["Durchtrennung oder Quetschen (Crushing) von Nerven des Armes und der Hand"]
04.03.33;["Durchtrennung oder Quetschen (Crushing) von Nerven des Rumpfes und der unteren Extremität"]
04.03.99;["Durchtrennung oder Quetschen (Crushing) von anderen kranialen und peripheren Nerven, sonstige"]
04.04.0;["Detail der Subkategorie 04.04"]
04.04.00;["Sonstige Inzision an kranialen und peripheren Nerven, n.n.bez."]
04.04.11;["Sonstige Inzision an intrakraniellen Anteilen von sonstigen Hirnnerven und Ganglien"]
04.04.31;["Sonstige Inzision an Nerven der Schulter"]
04.04.32;["Sonstige Inzision an Nerven des Armes und der Hand"]
04.04.33;["Sonstige Inzision an Nerven des Rumpfes und der unteren Extremität"]
04.04.99;["Sonstige Inzision an kranialen und peripheren Nerven, sonstige "]
04.05.0;["Detail der Subkategorie 04.05"]
04.05.00;["Exzision (und Destruktion) des Ganglion Gasseri, n.n.bez."]
04.05.99;["Exzision (und Destruktion) des Ganglion Gasseri, sonstige"]
04.06.00;["Sonstige Exzision von kranialen oder peripheren Ganglien, n.n.bez."]
04.06.20;["Exzision von sonstigen peripheren Ganglien"]
04.06.99;["Sonstige Exzision von kranialen oder peripheren Ganglien, sonstige"]
04.07.00;["Sonstige Exzision oder Avulsion von kranialen oder peripheren Nerven, n.n.bez."]
04.07.10;["Exzision eines Nerven zur Transplantation"]
04.07.20;["Sonstige Exzision oder Avulsion von intrakraniellen Nerven"]
04.07.30;["Sonstige Exzision oder Avulsion von extrakraniellen Hirnnerven"]
04.07.40;["Sonstige Exzision oder Avulsion des Plexus brachialis"]
04.07.41;["Sonstige Exzision oder Avulsion von Nerven der Schulter"]
04.07.42;["Sonstige Exzision oder Avulsion von Nerven des Armes und der Hand"]
04.07.43;["Sonstige Exzision oder Avulsion von Nerven des Rumpfes und der unteren Extremität"]
04.07.99;["Sonstige Exzision oder Avulsion von kranialen oder peripheren Nerven, sonstige"]
04.08;["Optikusscheidenfensterung"]
04.11;["Geschlossene [perkutane] [Nadel-] Biopsie an kranialem oder peripherem Nerv oder Ganglion"]
04.11.00;["Geschlossene [perkutane] [Nadel-] Biopsie an kranialem oder peripherem Nerv oder Ganglion, n.n.bez."]
04.11.39;["Geschlossene [perkutane] [Nadel-] Biopsie an sonstigen Nerven"];Schulter, Rumpf
04.11.40;["Geschlossene [perkutane] [Nadel-] Biopsie an Nerven der unteren Extremität"];Plexus lumbosacralis, Leiste und Beckenboden
04.11.99;["Geschlossene [perkutane] [Nadel-] Biopsie an kranialem oder peripherem Nerv oder Ganglion, sonstige"]
04.12.00;["Offene Biopsie an kranialem oder peripherem Nerv oder Ganglion, n.n.bez."]
04.12.32;["Offene Biopsie an Nerven des Armes und der Hand"]
04.12.35;["Offene Biopsie an Nerven der unteren Extremität "]
04.12.99;["Offene Biopsie an kranialem oder peripherem Nerv oder Ganglion, sonstige"]
04.19;["Sonstige diagnostische Massnahmen an kranialen und peripheren Nerven und Ganglien"]
04.19.0;["Detail der Subkategorie 04.19"]
04.19.00;["Sonstige diagnostische Massnahmen an kranialen und peripheren Nerven und Ganglien, n.n.bez."]
04.19.10;["Anwendung eines Endoskopiesystems bei Eingriffen am Nervensystem"]
04.19.99;["Sonstige diagnostische Massnahmen an kranialen und peripheren Nerven und Ganglien, sonstige"]
04.2;["Destruktion von kranialen und peripheren Nerven und Ganglien"];Destruktion von kranialen oder peripheren Nerven durch Injektion einer neurolytischen Substanz;Destruktion von kranialen oder peripheren Nerven durch Kryoanalgesie;Destruktion von kranialen oder peripheren Nerven durch Radiofrequenz;Radiofrequenz-Ablation
04.2X.00;["Destruktion von kranialen und peripheren Nerven und Ganglien, n.n.bez."]
04.2X.10;["Destruktion von intrakraniellen Hirnnerven und Ganglien"]
04.2X.20;["Destruktion von extrakraniellen Hirnnerven "]
04.43;["Entlastung am Karpaltunnel"]
04.49.15;["Sonstige Dekompression oder Lösung von Adhäsionen an Nerven des Beines "]
04.49.16;["Sonstige Dekompression oder Lösung von Adhäsionen an Nerven des Fußes"]
