04.11;["Biopsia chiusa [percutanea] [agobiopsia] di nervi cranici o periferici o di gangli"]
04.11.00;["Biopsia chiusa [percutanea] [agobiopsia] di nervi cranici o periferici o di gangli, NAS"]
04.11.10;["Biopsia chiusa [percutanea] [agobiopsia] del tratto intracranico di nervi cranici"]
04.11.20;["Biopsia chiusa [percutanea] [agobiopsia] del tratto extracranico di nervi cranici"]
04.11.30;["Biopsia chiusa [percutanea] [agobiopsia] del plesso brachiale"]
04.11.31;["Biopsia chiusa [percutanea] [agobiopsia] di nervi del braccio e della mano"]
04.11.39;["Biopsia chiusa [percutanea] [agobiopsia] di altri nervi"];Spalla, tronco
04.07.41;["Altra resezione o asportazione di nervi della spalla"]
04.07.42;["Altra resezione o asportazione di nervi del braccio e della mano"]
04.07.43;["Altra resezione o asportazione di nervi del tronco e delle estremità ienferiori"]
04.07.99;["Altra resezione o asportazione di nervi cranici e periferici, altro"]
04.08;["Fenestrazione della guaina del nervo ottico"]
04.08.99;["Fenestrazione della guaina del nervo ottico, altro"]
04.43;["Liberazione del tunnel carpale"]
04.81.23;["Iniezione di medicamento per terapia del dolore nella colonna toracica, con imaging"]
04.81.25;["Iniezione di medicamento per terapia del dolore in altra sede della colonna vertebrale, con imaging"]
04.81.29;["Iniezione di medicamento in radici nervose e nervi vicini alla colonna vertebrale per terapia del dolore, altro"]
04.81.40;["Iniezione di anestetico nel canale vertebrale per anestesia operatoria"];Questo codice va utilizzato solo per interventi chirurgici che normalmente non prevedono anestesia o analgesia.
04.81.41;["Iniezione di anestetico in nervo periferico per anestesia operatoria"];Questo codice va utilizzato solo per interventi chirurgici che normalmente non prevedono anestesia o analgesia.
04.81.99;["Iniezione di anestetico in nervo periferico per analgesia, altro"]
04.92.0;["Dettaglio della sottocategoria 04.92"]
05.2;["Simpatectomia"]
16.0;["Orbitotomia"]
03.99.32;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore epidurale, elettrodo piatto, sistema a elettrodo singolo"]
03.99.33;["Revisione (senza sostituzione) di elettrodo(i) di neurostimolatore epidurale, elettrodo piatto, sistema a più elettrodi"]
03.99.99;["Altri interventi sul midollo spinale e sulle strutture del canale vertebrale, altro"]
04.01.10;["Asportazione di neurinoma acustico mediante craniotomia"]
04.01.11;["Asportazione di neurinoma acustico, Approccio translabirintico"]
04.02;["Sezione del nervo trigemino"];Neurotomia retrogasseriana
04.03.00;["Sezione o compressione mirata di altri nervi cranici e periferici, NAS"]
04.03.10;["Sezione o compressione mirata del nervo vestibolo-cocleare"]
04.03.11;["Sezione o compressione mirata del tratto intracranico di altri nervi cranici e gangli"]
04.03.20;["Sezione o compressione mirata di nervi cranici nel tratto extracranico"]
04.03.30;["Sezione o compressione mirata del plesso brachiale"]
04.03.31;["Sezione o compressione mirata di nervi della spalla"]
04.03.32;["Sezione o compressione mirata di nervi del braccio e della mano"]
04.03.33;["Sezione o compressione mirata di nervi del tronco e delle estremità inferiori"]
04.03.99;["Sezione o compressione mirata di altri nervi cranici e periferici, altro"]
04.04.11;["Altra incisione del tratto intracranico di altri nervi cranici e gangli"]
04.04.20;["Altra incisione del tratto extracranico di nervi cranici"]
04.04.32;["Altra incisione di nervi del braccio e della mano"]
04.04.33;["Altra incisione di nervi del tronco e delle estremità inferiori"]
04.04.99;["Altra incisione dei nervi cranici e periferici, altro"]
04.05.00;["Gangliectomia (e distruzione) del ganglio di Gasser, NAS"]
04.05.99;["Gangliectomia (e distruzione) del ganglio di Gasser, altro"]
04.06;["Altre gangliectomie di nervi cranici o periferici"]
04.06.20;["Gangliectomia di altri gangli periferici"]
04.06.99;["Altra gangliectomia di gangli cranici o periferici, altro"]
